Kategori,Parameter,Target,Hasil Eksak,Hasil E24,Galat Eksak (%),Galat E24 (%)
Komponen,R_D (Ohm),-,1600.0,1600.0,-,-
Komponen,R_S1 (Ohm),-,84.07769374217138,82.0,-,-
Komponen,R_S2 (Ohm),-,415.9223062578286,430.0,-,-
Komponen,R_1 (Ohm),-,94285.450420852,91000.0,-,-
Komponen,R_2 (Ohm),-,37834.437392338245,39000.0,-,-
Bias DC,V_G (V),-,3.436373253283465,3.5999999999999996,-,-
Bias DC,V_S (V),1.5,1.5,1.6249309139306374,-,-
Bias DC,V_D (V),7.2,7.2,6.922090893966758,-,-
Bias DC,V_GS (V),-,1.936373253283465,1.9750690860693623,-,-
Bias DC,I_D (mA),-,3.0,3.173693191270776,-,-
Sinyal Kecil,g_m (A/V),-,0.014728507460024584,0.014229603845612726,-,-
Sinyal Kecil,r_o (Ohm),-,14245.014245014245,13465.398247248728,-,-
Performa AC,R_in (Ohm),27000.0,27000.0,27300.0,0.0,1.1111111111111112
Performa AC,R_out (Ohm),1500.0,1523.7397269853354,1517.0425552395488,1.582648465689029,1.1361703493032564
Performa AC,Gain |A_v| (V/V),10.0,10.0,9.93453160548253,0.0,0.6546839451747033
Uji Stabilitas,I_D (+50mV dVg),-,-,3.2596323997450014,-,-
Uji Stabilitas,I_D (+200mV dVg),-,-,3.518244152279796,-,-
Uji Stabilitas,I_D (+500mV dVg),-,-,4.0386752868876,-,-
