VGS_V,VDS_V,ID_mA
1.529,0.0,0.0
1.529,0.5,1.01e-09
1.529,1.0,2.01e-09
1.529,1.5,3.01e-09
1.529,2.0,4.01e-09
1.529,2.5,5.01e-09
1.529,3.0,6.0099996e-09
1.529,3.5,7.0099997e-09
1.529,4.0,8.01e-09
1.529,4.5,9.01e-09
1.529,5.0,1.001e-08
1.529,5.5,1.101e-08
1.529,6.0,1.201e-08
1.529,6.5,1.301e-08
1.529,7.0,1.4009999e-08
1.529,7.5,1.501e-08
1.529,8.0,1.601e-08
1.529,8.5,1.7009999e-08
1.529,9.0,1.801e-08
1.529,9.5,1.901e-08
1.529,10.0,2.001e-08
1.529,10.5,2.1009999e-08
1.529,11.0,2.201e-08
1.529,11.5,2.3010001e-08
1.529,12.0,2.4010001e-08
2.029,0.4,3.86383
2.029,0.8999999999999999,4.071477
2.029,1.4000000000000001,4.1181307
2.029,1.9000000000000006,4.1647844
2.029,2.400000000000001,4.2114377
2.029,2.9000000000000012,4.2580914
2.029,3.4000000000000017,4.3047457
2.029,3.900000000000002,4.3513994
2.029,4.4,4.398053
2.029,4.899999999999999,4.444707
2.029,5.399999999999997,4.49136
2.029,5.899999999999995,4.538014
2.029,6.399999999999993,4.584668
2.029,6.8999999999999915,4.631322
2.029,7.39999999999999,4.6779757
2.029,7.899999999999988,4.7246294
2.029,8.399999999999986,4.7712827
2.029,8.899999999999984,4.8179364
2.029,9.399999999999983,4.8645906
2.029,9.89999999999998,4.9112444
2.029,10.399999999999979,4.957898
2.029,10.899999999999977,5.004552
2.029,11.399999999999975,5.0512056
2.029,11.899999999999974,5.097859
2.529,0.30000000000000004,8.191605
2.529,0.7999999999999999,15.59864
2.529,1.3,16.435198
2.529,1.8000000000000005,16.621813
2.529,2.3000000000000007,16.80843
2.529,2.800000000000001,16.995045
2.529,3.3000000000000016,17.18166
2.529,3.800000000000002,17.368275
2.529,4.300000000000001,17.554888
2.529,4.799999999999999,17.741503
2.529,5.299999999999997,17.92812
2.529,5.799999999999995,18.114735
2.529,6.299999999999994,18.30135
2.529,6.799999999999992,18.487965
2.529,7.29999999999999,18.674578
2.529,7.799999999999988,18.861193
2.529,8.299999999999986,19.04781
2.529,8.799999999999985,19.234425
2.529,9.299999999999983,19.42104
2.529,9.799999999999981,19.607655
2.529,10.29999999999998,19.794268
2.529,10.799999999999978,19.980883
2.529,11.299999999999976,20.1675
2.529,11.799999999999974,20.354115
3.029,0.2,8.973802
3.029,0.7,26.10013
3.029,1.2,35.41941
3.029,1.7000000000000004,37.315105
3.029,2.2000000000000006,37.73499
3.029,2.700000000000001,38.154873
3.029,3.2000000000000015,38.574757
3.029,3.700000000000002,38.99464
3.029,4.200000000000001,39.414524
3.029,4.699999999999999,39.834408
3.029,5.1999999999999975,40.25429
3.029,5.699999999999996,40.674175
3.029,6.199999999999994,41.09406
3.029,6.699999999999992,41.513943
3.029,7.19999999999999,41.933826
3.029,7.699999999999989,42.35371
3.029,8.199999999999987,42.773594
3.029,8.699999999999985,43.193478
3.029,9.199999999999983,43.613358
3.029,9.699999999999982,44.033245
3.029,10.19999999999998,44.45313
3.029,10.699999999999978,44.873013
3.029,11.199999999999976,45.292896
3.029,11.699999999999974,45.71278
3.529,0.1,6.235056
3.529,0.6,32.99483
3.529,1.0999999999999999,52.190163
3.529,1.6000000000000003,63.541122
3.529,2.1000000000000005,66.93513
3.529,2.600000000000001,67.681595
3.529,3.1000000000000014,68.428055
3.529,3.600000000000002,69.174515
3.529,4.100000000000001,69.920975
3.529,4.6,70.66743
3.529,5.099999999999998,71.41389
3.529,5.599999999999996,72.16035
3.529,6.099999999999994,72.906815
3.529,6.5999999999999925,73.653275
3.529,7.099999999999991,74.399734
3.529,7.599999999999989,75.146194
3.529,8.099999999999987,75.89265
3.529,8.599999999999985,76.63911
3.529,9.099999999999984,77.385574
3.529,9.599999999999982,78.132034
3.529,10.09999999999998,78.878494
3.529,10.599999999999978,79.624954
3.529,11.099999999999977,80.37141
3.529,11.599999999999975,81.11787
4.029,0.0,0.0
4.029,0.5,36.307384
4.029,0.9999999999999999,65.292915
4.029,1.5000000000000002,86.67669
4.029,2.0000000000000004,100.178764
4.029,2.500000000000001,105.51922
4.029,3.0000000000000013,106.68556
4.029,3.5000000000000018,107.851906
4.029,4.000000000000002,109.01825
4.029,4.5,110.18459
4.029,4.999999999999998,111.35094
4.029,5.4999999999999964,112.51728
4.029,5.999999999999995,113.683624
4.029,6.499999999999993,114.84997
4.029,6.999999999999991,116.01631
4.029,7.499999999999989,117.182655
4.029,7.999999999999988,118.349
4.029,8.499999999999986,119.51534
4.029,8.999999999999984,120.68169
4.029,9.499999999999982,121.84803
4.029,9.99999999999998,123.01437
4.029,10.499999999999979,124.18072
4.029,10.999999999999977,125.34706
4.029,11.499999999999975,126.513405
4.029,12.0,127.67975
4.5,0.4,35.68891
4.5,0.8999999999999999,73.90219
4.5,1.4000000000000001,104.74547
4.5,1.9000000000000006,127.938835
4.5,2.400000000000001,143.20236
4.5,2.9000000000000012,150.25615
4.5,3.4000000000000017,151.98923
4.5,3.900000000000002,153.63644
4.5,4.4,155.28366
4.5,4.899999999999999,156.93088
4.5,5.399999999999997,158.5781
4.5,5.899999999999995,160.22531
4.5,6.399999999999993,161.87254
4.5,6.8999999999999915,163.51978
4.5,7.39999999999999,165.16699
4.5,7.899999999999988,166.81421
4.5,8.399999999999986,168.46143
4.5,8.899999999999984,170.10864
4.5,9.399999999999983,171.75586
4.5,9.89999999999998,173.40309
4.5,10.399999999999979,175.05031
4.5,10.899999999999977,176.69754
4.5,11.399999999999975,178.34476
4.5,11.899999999999974,179.99197
